OLPbi,OLPbt,OLPbrt,TBPbi,THObi,TBPbt,THObt,TBPbrt,THObrt,GLKbp,GLKbt,GLKbrt
29,213,NA,3.77,2.51,10.1,11.5,NA,NA,63.8,70.2,NA
30,188,NA,5.01,4.69,2.99,2.34,NA,NA,81.7,58.8,NA
39,169,NA,5.19,5.46,3.81,3.79,NA,NA,65.4,57.7,NA
49,166,NA,3.87,4.43,6.21,6.24,NA,NA,67.3,60.5,NA
68,164,NA,2.69,2.73,2.62,3.04,NA,NA,61,61,NA
19,226,NA,4.8,3.33,8.52,10.2,NA,NA,76.3,67.5,NA
11,212,NA,4.65,6.73,5.45,5.14,NA,NA,86.4,60.8,NA
10,197,NA,6.15,4.79,4.58,4.84,NA,NA,85,53.6,NA
17,169,NA,6.57,5.78,6.85,7.3,NA,NA,61.8,62.4,NA
20,170,NA,6,9.18,6.73,7.33,NA,NA,87.5,62.4,NA
17,209,NA,9.94,12.6,5.32,6.14,NA,NA,91.2,61.5,NA
25,227,NA,6.93,12.4,7.65,7.95,NA,NA,86,66.5,NA
12,202,NA,4.44,3.38,5.25,6.12,NA,NA,79.2,59.2,NA
24,216,NA,12.5,10.8,5.91,6.5,NA,NA,89.6,61.3,NA
17,227,NA,12.6,14.2,6.35,7.22,NA,NA,97.1,59.7,NA
17,210,NA,9.29,6.93,5.62,5.61,NA,NA,97.1,63.8,NA
14,192,NA,9.78,11.3,3.54,3.47,NA,NA,89.3,54.9,NA
13,169,NA,12.5,7.72,6.27,6.09,NA,NA,96.2,63.6,NA
13,188,NA,8.59,10.8,4.08,3.93,NA,NA,80.8,58.8,NA
10,209,NA,4.7,4.05,7.17,8.58,NA,NA,75,65.3,NA
9,194,NA,5.96,4.6,2.86,2.9,NA,NA,83.3,56.7,NA
9,167,NA,2.41,3.04,2.56,3.15,NA,NA,83.3,57.2,NA
27,196,NA,12.4,16.4,6.33,6.99,NA,NA,90.7,64.5,NA
12,207,NA,7.73,5.16,3.4,3.42,NA,NA,95.8,57.7,NA
28,227,NA,4.77,3.72,7.99,8.59,NA,NA,78.6,63.7,NA
42,197,NA,8.17,6.8,4.58,4.05,NA,NA,83.3,53.6,NA
53,204,NA,11.2,9.68,7.16,8.45,NA,NA,89.6,64,NA
54,227,NA,8.88,11.5,6.33,7.35,NA,NA,88,68.5,NA
44,209,NA,7.64,7.05,5.26,4.9,NA,NA,78.4,62.9,NA
41,208,NA,6.18,4.48,7.82,8.31,NA,NA,79.3,62.3,NA
26,188,NA,11.3,9.88,4.97,4.66,NA,NA,78.8,60.9,NA
34,168,NA,16.3,16.6,5.91,5.89,NA,NA,89.7,62.2,NA
35,166,NA,12.4,11.1,5.38,5.95,NA,NA,87.1,63,NA
45,163,NA,8.78,8.59,3.68,4.6,NA,NA,77.8,64.4,NA
38,208,NA,6.88,7.39,8,8.54,NA,NA,80.3,63.9,NA
45,208,NA,6.91,6.18,7.95,7.48,NA,NA,76.7,60.1,NA
54,197,NA,11.8,13.6,5.07,5.82,NA,NA,93.5,58.6,NA
37,168,NA,7.31,6,8.74,9.43,NA,NA,82.4,64.6,NA
34,169,NA,8.38,9.14,6.96,7.12,NA,NA,86.8,65.1,NA
21,208,NA,28.3,39.8,5.33,5.17,NA,NA,97.6,56.3,NA
34,208,NA,7.04,6.64,7.11,7.11,NA,NA,80.9,64.7,NA
33,201,NA,2.6,5.07,8.46,7.76,NA,NA,74.2,60,NA
11,208,NA,6.1,10.3,7.98,8.49,NA,NA,68.2,67.5,NA
10,208,NA,4.19,3.3,6.57,6.15,NA,NA,95,58.9,NA
14,207,NA,4.42,3.54,6.64,6.32,NA,NA,75,57.5,NA
11,191,NA,7.59,4.95,5.85,5.01,NA,NA,86.4,62.6,NA
12,154,NA,10.1,3.96,6.76,6.33,NA,NA,79.2,54.9,NA
15,187,NA,11.3,12.1,8.95,8.54,NA,NA,70,68.2,NA
20,208,NA,20.8,22,8.15,8.25,NA,NA,87.5,64.9,NA
14,193,NA,7.72,7.49,6.38,6.05,NA,NA,89.3,60.1,NA
17,167,NA,10.2,5.83,5.87,6.21,NA,NA,79.4,58.4,NA
39,196,NA,12.2,13.2,8.7,7.99,NA,NA,78.2,64,NA
39,204,NA,16.4,28.7,6.45,5.99,NA,NA,85.9,62,NA
39,208,NA,17.5,15.8,6.05,5.55,NA,NA,89.7,58.9,NA
36,197,NA,9.72,10.1,7.58,7.8,NA,NA,83.3,63.2,NA
28,204,NA,2.64,2.9,6.88,5.46,NA,NA,73.2,53.7,NA
30,208,NA,2.36,2.28,8.16,8.47,NA,NA,75,63.7,NA
50,208,NA,16.3,16.1,3.22,2.78,NA,NA,87,56.7,NA
22,188,NA,11.4,8.53,4.45,3.5,NA,NA,75,64.1,NA
15,168,NA,12.7,13.3,4.33,3.79,NA,NA,96.7,58.6,NA
13,166,NA,8.07,4.55,5.91,6.28,NA,NA,88.5,63,NA
10,163,NA,5.88,11.8,1.31,1.92,NA,NA,95,57.1,NA
17,213,NA,18.4,25.9,11,12.7,NA,NA,97.1,74.2,NA
52,211,NA,47.1,37.8,6.52,6.52,NA,NA,95.2,64,NA
18,197,NA,24.4,18.4,3.9,4.87,NA,NA,91.7,57.6,NA
41,168,NA,11.8,14.3,6.28,7.69,NA,NA,91.5,69.3,NA
101,169,NA,34.7,30.2,5.89,6.49,NA,NA,92.6,66.3,NA
62,208,NA,17.1,20,7.02,7.11,NA,NA,86.3,59.9,NA
53,213,NA,17.4,21.2,6,6.72,NA,NA,97.2,70.2,NA
51,201,NA,19.2,18.5,7.57,8.05,NA,NA,83.3,62.9,NA
42,213,NA,7.63,6.74,8.1,9.13,NA,NA,86.9,61.7,NA
35,213,NA,9.15,9.51,5.5,6.15,NA,NA,90,63.1,NA
